
=================================================================
  InvoiceTriageEnv — REINFORCE Training
  Tasks: ['easy_approve_clean', 'easy_reject_no_po', 'easy_utilities_approve', 'easy_travel_approve', 'easy_missing_approval', 'medium_amount_mismatch', 'medium_duplicate_detection', 'medium_fx_currency_risk', 'medium_equipment_over_budget', 'medium_subscription_overbill', 'medium_split_invoice_abuse', 'hard_multi_issue_fraud', 'hard_suspicious_vendor', 'hard_ghost_vendor', 'hard_tax_fraud_pattern', 'hard_healthcare_complex']
  Episodes: 5000 | LR: 0.0003 | γ: 0.99
  Policy params: 366,602
=================================================================

  Ep    1/5000 | task=easy_approve_clean             | score=0.7692 | avg20=0.7692 | steps= 4 | loss=-0.2513
  Ep   10/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0770 | steps=15 | loss=-0.3243
  Ep   20/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.0696 | steps= 6 | loss=-0.5352
  Ep   30/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0605 | steps=20 | loss=-0.3000
  Ep   40/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1230 | steps=15 | loss=0.2969
  Ep   50/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0954 | steps= 3 | loss=-0.9200
  Ep   60/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0665 | steps=20 | loss=-0.5840
  Ep   70/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1192 | steps= 4 | loss=-0.0408
  Ep   80/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0564 | steps=20 | loss=-1.4784
  Ep   90/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1323 | steps=15 | loss=1.8025
  Ep  100/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1702 | steps= 4 | loss=-1.2524
  Ep  110/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0398 | steps=20 | loss=3.6483
  Ep  120/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0313 | steps=15 | loss=0.2082
  Ep  130/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.0488 | steps= 3 | loss=0.0880
  Ep  140/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0176 | steps=20 | loss=-0.0056
  Ep  150/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0748 | steps= 4 | loss=-0.2328
  Ep  160/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0766 | steps=20 | loss=-0.7293
  Ep  170/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1029 | steps=15 | loss=0.2380
  Ep  180/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1495 | steps= 4 | loss=-0.1102
  Ep  190/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0485 | steps=20 | loss=-0.6449
  Ep  200/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1050 | steps=15 | loss=1.7269
  Ep  210/5000 | task=easy_reject_no_po              | score=0.7857 | avg20=0.1845 | steps= 4 | loss=0.1502
  Ep  220/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1443 | steps=20 | loss=-0.1611
  Ep  230/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1207 | steps= 5 | loss=-0.3737
  Ep  240/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0579 | steps=20 | loss=-0.4337
  Ep  250/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1424 | steps=15 | loss=-0.3564
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep0250.pt
  Ep  260/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.2597 | steps= 6 | loss=0.5726
  Ep  270/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1474 | steps=20 | loss=-0.8764
  Ep  280/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0623 | steps=15 | loss=1.3874
  Ep  290/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.0902 | steps= 3 | loss=-0.3841
  Ep  300/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0884 | steps=20 | loss=0.5123
  Ep  310/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1675 | steps= 4 | loss=-0.8731
  Ep  320/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.1370 | steps=20 | loss=1.3972
  Ep  330/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0634 | steps=15 | loss=-1.7674
  Ep  340/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.1280 | steps= 4 | loss=0.6956
  Ep  350/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0665 | steps=20 | loss=-0.3627
  Ep  360/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1116 | steps=15 | loss=0.7685
  Ep  370/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1134 | steps= 3 | loss=-1.2923
  Ep  380/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0959 | steps=20 | loss=1.2207
  Ep  390/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.1733 | steps= 4 | loss=-1.1176
  Ep  400/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0811 | steps=20 | loss=0.1034
  Ep  410/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0822 | steps=15 | loss=-0.8898
  Ep  420/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.1538 | steps= 4 | loss=-0.6626
  Ep  430/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0735 | steps=20 | loss=-0.5544
  Ep  440/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0727 | steps=15 | loss=-0.2585
  Ep  450/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1129 | steps= 3 | loss=-0.2285
  Ep  460/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0727 | steps=20 | loss=0.1134
  Ep  470/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0808 | steps= 4 | loss=-0.7556
  Ep  480/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0503 | steps=20 | loss=1.1369
  Ep  490/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0884 | steps=15 | loss=-0.8450
  Ep  500/5000 | task=easy_travel_approve            | score=0.4923 | avg20=0.1453 | steps= 6 | loss=-0.2308
  ✓ Saved checkpoint: outputs/checkpoints/policy_ep0500.pt
  Ep  510/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0588 | steps=20 | loss=-0.4914
  Ep  520/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0748 | steps=15 | loss=-1.6092
  Ep  530/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1074 | steps= 5 | loss=-0.6434
  Ep  540/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0931 | steps=20 | loss=-0.9960
  Ep  550/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1331 | steps= 4 | loss=-0.3395
  Ep  560/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0745 | steps=20 | loss=-0.4130
  Ep  570/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0634 | steps=15 | loss=0.9461
  Ep  580/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.0964 | steps= 5 | loss=-0.8691
  Ep  590/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0348 | steps=20 | loss=1.1863
  Ep  600/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0884 | steps=15 | loss=-1.2330
  Ep  610/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.0902 | steps= 3 | loss=0.0408
  Ep  620/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.0342 | steps=20 | loss=-0.1949
  Ep  630/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0988 | steps= 5 | loss=0.6416
  Ep  640/5000 | task=hard_healthcare_complex        | score=0.0364 | avg20=0.0683 | steps=20 | loss=-0.1201
  Ep  650/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.0041 | steps=15 | loss=-0.3729
  Ep  660/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.0041 | steps= 4 | loss=1.8840
  Ep  670/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.0019 | steps=20 | loss=-0.2154
  Ep  680/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0404 | steps=15 | loss=1.3921
  Ep  690/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.0964 | steps= 3 | loss=0.1493
  Ep  700/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1178 | steps=20 | loss=0.9781
  Ep  710/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.0959 | steps= 5 | loss=-0.6622
