
=================================================================
  InvoiceTriageEnv — REINFORCE Training
  Tasks: ['easy_approve_clean', 'easy_reject_no_po', 'easy_utilities_approve', 'easy_travel_approve', 'easy_missing_approval', 'medium_amount_mismatch', 'medium_duplicate_detection', 'medium_fx_currency_risk', 'medium_equipment_over_budget', 'medium_subscription_overbill', 'medium_split_invoice_abuse', 'hard_multi_issue_fraud', 'hard_suspicious_vendor', 'hard_ghost_vendor', 'hard_tax_fraud_pattern', 'hard_healthcare_complex']
  Episodes: 5000 | LR: 0.0003 | γ: 0.99
  Policy params: 366,602
=================================================================

  Ep    1/5000 | task=easy_approve_clean             | score=0.0001 | avg20=0.0001 | steps= 5 | loss=-0.1572
  Ep   10/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1414 | steps= 7 | loss=0.9804
  Ep   20/5000 | task=easy_travel_approve            | score=0.4923 | avg20=0.2311 | steps= 6 | loss=0.5116
  Ep   30/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.2111 | steps= 7 | loss=0.3302
  Ep   40/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.0760 | steps= 5 | loss=-0.3201
  Ep   50/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.0595 | steps= 3 | loss=0.0092
  Ep   60/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.2015 | steps= 5 | loss=-0.6499
  Ep   70/5000 | task=medium_amount_mismatch         | score=0.5875 | avg20=0.2142 | steps= 4 | loss=0.5505
  Ep   80/5000 | task=hard_healthcare_complex        | score=0.1273 | avg20=0.0698 | steps= 5 | loss=-0.8584
  Ep   90/5000 | task=medium_subscription_overbill   | score=0.0001 | avg20=0.1192 | steps= 5 | loss=1.2429
  Ep  100/5000 | task=easy_travel_approve            | score=0.6462 | avg20=0.2221 | steps= 4 | loss=-1.2954
  Ep  110/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.2567 | steps= 5 | loss=1.7609
  Ep  120/5000 | task=medium_fx_currency_risk        | score=0.2500 | avg20=0.2098 | steps= 6 | loss=-0.7977
  Ep  130/5000 | task=easy_reject_no_po              | score=0.3143 | avg20=0.1831 | steps= 3 | loss=2.2713
  Ep  140/5000 | task=hard_multi_issue_fraud         | score=0.0001 | avg20=0.1879 | steps= 5 | loss=-0.8844
  Ep  150/5000 | task=medium_amount_mismatch         | score=0.0001 | avg20=0.1487 | steps= 5 | loss=0.1010
  Ep  160/5000 | task=hard_healthcare_complex        | score=0.5818 | avg20=0.1166 | steps= 5 | loss=-0.1388
  Ep  170/5000 | task=medium_subscription_overbill   | score=0.5875 | avg20=0.1671 | steps= 5 | loss=0.2637
  Ep  180/5000 | task=easy_travel_approve            | score=0.0001 | avg20=0.1960 | steps= 5 | loss=-0.7645
  Ep  190/5000 | task=hard_ghost_vendor              | score=0.0001 | avg20=0.1628 | steps= 6 | loss=-0.2264
  Ep  200/5000 | task=medium_fx_currency_risk        | score=0.0001 | avg20=0.1208 | steps= 5 | loss=-0.0505
  Ep  210/5000 | task=easy_reject_no_po              | score=0.0001 | avg20=0.1176 | steps= 4 | loss=-0.6769
